period_month,province_name,inflation_mtm,inflation_yoy,cpi,source
2026-02-01,Bali,0.72,3.89,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Banten,1.08,5.14,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Bengkulu,0.72,3.88,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,DI Yogyakarta,0.69,4.91,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,DKI Jakarta,0.63,4.91,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Gorontalo,0.82,5.3,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Indonesia,0.68,4.76,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Jambi,0.79,4.59,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Jawa Barat,0.82,4.71,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Jawa Tengah,0.79,4.43,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Jawa Timur,0.94,4.88,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kalimantan Barat,0.49,3.9,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kalimantan Selatan,0.92,5.97,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kalimantan Tengah,0.55,5.06,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kalimantan Timur,0.59,4.64,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kalimantan Utara,0.46,4.75,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kepulauan Bangka Belitung,-0.7,3.31,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Kepulauan Riau,0.47,3.54,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Lampung,0.35,2.95,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Maluku,0.26,5.97,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Maluku Utara,0.71,5.85,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Nusa Tenggara Barat,0.85,5.37,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Nusa Tenggara Timur,0.33,3.42,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua,0.06,3.94,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua Barat,-0.65,5.83,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua Barat Daya,-0.29,4.16,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua Pegunungan,0.49,0.63,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua Selatan,0.59,5.5,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Papua Tengah,-0.19,4.93,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Riau,0.5,5.3,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
