climate_date,province_name,latitude,longitude,precipitation_mm,temperature_avg_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_mps,source,dry_day_flag,heavy_rain_flag,heat_stress_flag,climate_risk_score,climate_risk_label
2026-01-04,Bengkulu,-3.7928451,102.2607641,3.32,25.21,27.68,23.26,83.99,3.11,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,D.I Yogyakarta,-7.8753849,110.4262088,20.15,25.89,28.22,23.76,87.21,2.62,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,DKI Jakarta,-6.1944491,106.8229198,18.61,26.75,28.08,25.44,83.76,3.07,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Gorontalo,0.6999372,122.4467238,11.77,26.22,27.72,25.26,85.46,2.9,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Jambi,-1.6101229,103.6131203,11.95,25.43,28.76,23.2,90.74,1.37,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Jawa Barat,-7.090911,107.668887,2.99,20.57,23.7,18.54,91.57,2.36,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Jawa Tengah,-7.150975,110.1402594,16.4,24.75,26.11,23.68,89.17,2.95,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Jawa Timur,-7.5360639,112.2384017,42.56,25.34,28.08,23.54,88.92,2.51,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kalimantan Barat,-0.2787808,111.4752851,2.91,24.73,28.49,21.58,90.34,0.66,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kalimantan Selatan,-3.0926415,115.2837585,39.19,25.35,28.37,23.4,92.65,1.24,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kalimantan Tengah,-1.6814878,113.3823545,4.54,25.61,29.65,22.64,90.41,0.99,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kalimantan Timur,0.5386586,116.419389,3.96,24.74,28.13,22.18,93.5,0.65,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kalimantan Utara,3.0730929,116.0413889,11.93,23.35,26.57,21.43,94.33,0.49,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kepulauan Bangka Belitung,-2.7410513,106.4405872,15.46,26.24,28.04,24.79,87.05,4.75,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Kepulauan Riau,3.9456514,108.1428669,4.58,26.22,26.38,26.01,87.83,7.09,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Lampung,-4.5585849,105.4068079,11.59,26.43,29.48,23.71,86.98,2.94,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Maluku,-3.2384616,130.1452734,3.97,27.04,28.62,25.65,84.4,3.66,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Maluku Utara,1.5709993,127.8087693,33.42,26.42,27.44,25.53,88.07,3.65,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Nusa Tenggara Barat,-8.6529334,117.3616476,4.48,26.67,29.95,24.74,83.68,1.51,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Nusa Tenggara Timur,-8.6573819,121.0793705,4.61,27.33,29.88,25.44,78.23,1.73,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua,-4.269928,138.0803529,26.08,23.34,26.42,20.65,91.9,1.92,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua Barat,-1.3361154,133.1747162,6.79,23.68,26.41,21.96,93.94,0.62,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua Barat Daya,-0.88272864,131.28662743,9.45,27.31,28.39,26.55,86.47,2.91,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua Pegunungan,-4.06450843,138.95770535,17.5,15.1,18.94,12.64,88.9,1.69,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua Selatan,-4.269928,138.0803529,26.08,23.34,26.42,20.65,91.9,1.92,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Papua Tengah,-4.269928,138.0803529,26.08,23.34,26.42,20.65,91.9,1.92,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Riau,0.2933469,101.7068294,47.85,25.4,29.37,22.57,90.93,0.7,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sulawesi Barat,-2.8441371,119.2320784,2.46,20.35,22.42,18.7,95.13,0.78,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sulawesi Selatan,-3.6687994,119.9740534,6.06,22.49,24.91,20.88,91.97,1.04,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sulawesi Tengah,-1.4300254,121.4456179,7.0,21.35,25.13,19.1,90.03,1.05,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sulawesi Tenggara,-4.14491,122.174605,4.18,24.59,27.33,22.93,91.95,0.43,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sulawesi Utara,0.6246932,123.9750018,22.53,23.69,25.08,22.47,90.18,2.06,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sumatera Barat,-0.7399397,100.8000051,0.66,22.67,27.09,19.29,82.73,1.58,NASA POWER Daily API,1,0,0,1,Medium
2026-01-04,Sumatera Selatan,-3.3194374,103.914399,2.4,25.68,29.42,22.57,87.71,2.21,NASA POWER Daily API,0,0,0,0,Low
2026-01-04,Sumatera Utara,2.1153547,99.5450974,0.0,21.21,25.95,16.79,84.86,1.22,NASA POWER Daily API,1,0,0,1,Medium
2026-01-05,Aceh,4.695135,96.7493993,1.07,19.83,23.72,17.58,91.84,0.5,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Bali,-8.4095178,115.188916,12.07,25.29,27.19,24.13,88.83,3.11,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Banten,-6.4058172,106.0640179,4.29,25.39,28.44,22.89,85.17,2.19,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Bengkulu,-3.7928451,102.2607641,0.03,25.9,28.87,22.98,77.76,3.08,NASA POWER Daily API,1,0,0,1,Medium
2026-01-05,D.I Yogyakarta,-7.8753849,110.4262088,9.96,25.78,27.46,24.46,86.07,2.9,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,DKI Jakarta,-6.1944491,106.8229198,13.4,26.74,28.1,25.04,83.69,2.43,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Gorontalo,0.6999372,122.4467238,12.97,25.83,26.76,24.96,87.27,3.14,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Jambi,-1.6101229,103.6131203,10.59,25.54,28.7,23.17,91.57,1.26,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Jawa Barat,-7.090911,107.668887,0.32,21.27,25.47,17.59,85.39,1.92,NASA POWER Daily API,1,0,0,1,Medium
2026-01-05,Jawa Tengah,-7.150975,110.1402594,11.37,25.22,26.93,23.78,84.75,2.25,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Jawa Timur,-7.5360639,112.2384017,53.39,25.17,27.77,23.35,89.35,2.57,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Kalimantan Barat,-0.2787808,111.4752851,3.25,24.84,28.23,22.38,91.62,0.58,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Kalimantan Selatan,-3.0926415,115.2837585,70.46,25.18,27.86,23.45,93.66,1.08,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Kalimantan Tengah,-1.6814878,113.3823545,2.68,25.96,28.96,23.09,87.64,0.82,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Kalimantan Timur,0.5386586,116.419389,7.15,24.37,26.31,22.86,94.96,0.79,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Kalimantan Utara,3.0730929,116.0413889,24.52,23.33,26.13,21.26,94.23,0.52,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Kepulauan Bangka Belitung,-2.7410513,106.4405872,5.46,26.28,27.8,25.14,87.02,3.41,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Kepulauan Riau,3.9456514,108.1428669,12.27,26.5,26.8,26.07,91.5,6.49,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Lampung,-4.5585849,105.4068079,14.8,25.89,27.66,24.4,90.7,2.71,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Maluku,-3.2384616,130.1452734,6.52,26.6,27.83,25.43,87.89,4.52,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Maluku Utara,1.5709993,127.8087693,93.86,26.38,27.24,25.58,87.26,3.32,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Nusa Tenggara Barat,-8.6529334,117.3616476,3.96,27.09,31.48,24.34,82.59,1.77,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Nusa Tenggara Timur,-8.6573819,121.0793705,3.11,27.32,30.08,25.25,78.97,2.35,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Papua,-4.269928,138.0803529,51.56,23.72,26.11,21.68,92.93,1.98,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Papua Barat,-1.3361154,133.1747162,6.55,23.2,24.71,22.22,96.46,0.67,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Papua Barat Daya,-0.88272864,131.28662743,5.09,27.25,28.61,26.23,85.73,3.28,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Papua Pegunungan,-4.06450843,138.95770535,37.81,14.56,17.55,12.72,91.01,1.5,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Papua Selatan,-4.269928,138.0803529,51.56,23.72,26.11,21.68,92.93,1.98,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Papua Tengah,-4.269928,138.0803529,51.56,23.72,26.11,21.68,92.93,1.98,NASA POWER Daily API,0,1,0,2,Medium
2026-01-05,Riau,0.2933469,101.7068294,21.96,25.78,29.48,22.92,90.46,0.57,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sulawesi Barat,-2.8441371,119.2320784,18.35,19.76,23.15,16.85,91.34,0.58,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sulawesi Selatan,-3.6687994,119.9740534,14.56,22.53,26.18,19.18,87.51,1.75,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sulawesi Tengah,-1.4300254,121.4456179,9.95,20.89,23.49,19.29,93.32,0.84,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sulawesi Tenggara,-4.14491,122.174605,3.69,24.43,27.82,22.12,91.96,0.8,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sulawesi Utara,0.6246932,123.9750018,18.27,23.59,24.66,22.77,91.43,4.57,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sumatera Barat,-0.7399397,100.8000051,0.06,23.45,27.88,19.71,79.34,1.53,NASA POWER Daily API,1,0,0,1,Medium
2026-01-05,Sumatera Selatan,-3.3194374,103.914399,1.8,25.12,27.63,22.52,89.4,1.92,NASA POWER Daily API,0,0,0,0,Low
2026-01-05,Sumatera Utara,2.1153547,99.5450974,0.08,21.93,26.96,17.38,84.43,1.13,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,Aceh,4.695135,96.7493993,3.83,19.92,22.98,17.64,92.74,0.6,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Bali,-8.4095178,115.188916,7.72,25.45,27.67,24.17,89.11,2.82,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Banten,-6.4058172,106.0640179,1.77,26.31,30.13,22.93,81.81,1.56,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Bengkulu,-3.7928451,102.2607641,0.12,26.73,30.16,23.59,79.0,2.15,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,D.I Yogyakarta,-7.8753849,110.4262088,0.59,26.45,28.94,24.25,83.74,2.67,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,DKI Jakarta,-6.1944491,106.8229198,2.7,27.47,29.66,25.7,82.64,2.47,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Gorontalo,0.6999372,122.4467238,17.03,26.12,27.34,24.97,85.35,2.58,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Jambi,-1.6101229,103.6131203,3.22,25.84,29.23,23.2,90.83,1.39,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Jawa Barat,-7.090911,107.668887,1.3,21.91,25.94,18.16,88.65,2.15,NASA POWER Daily API,0,0,0,0,Low
