event,status,method,url,body_length,body_sample
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Merah%20Keriting%20&_=1777668631205,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Merah%20Keriting%20&forInfo=true&_=1777668631206,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Rawit%20Hijau&_=1777668631207,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Rawit%20Hijau&forInfo=true&_=1777668631208,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Rawit%20Merah&_=1777668631209,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Cabai%20Rawit%20Merah&forInfo=true&_=1777668631210,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Ayam%20Ras%20Segar&_=1777668631211,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Ayam%20Ras%20Segar&forInfo=true&_=1777668631212,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Sapi%20Kualitas%201&_=1777668631213,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Sapi%20Kualitas%201&forInfo=true&_=1777668631214,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Sapi%20Kualitas%202&_=1777668631215,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Daging%20Sapi%20Kualitas%202&forInfo=true&_=1777668631216,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Gula%20Pasir%20Kualitas%20Premium&_=1777668631217,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Gula%20Pasir%20Kualitas%20Premium&forInfo=true&_=1777668631218,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Gula%20Pasir%20Lokal&_=1777668631219,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Gula%20Pasir%20Lokal&forInfo=true&_=1777668631220,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Curah&_=1777668631221,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Curah&forInfo=true&_=1777668631222,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Kemasan%20Bermerk%201&_=1777668631223,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Kemasan%20Bermerk%201&forInfo=true&_=1777668631224,,
